epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
77,858.255,1.08944,0.84927,1.2721,0.74555,0.67111,0.77112,0.40797,1.51163,1.15466,1.66934,0.0002476,0.0002476,0.0002476
78,869.397,1.07891,0.86488,1.26946,0.74586,0.69185,0.7784,0.41583,1.51537,1.16377,1.66662,0.0002377,0.0002377,0.0002377
79,880.656,1.07807,0.8486,1.26087,0.68245,0.71374,0.74889,0.39321,1.53535,1.19591,1.6788,0.0002278,0.0002278,0.0002278
80,891.852,1.06986,0.8429,1.26269,0.69911,0.6717,0.74503,0.40758,1.48807,1.16694,1.64095,0.0002179,0.0002179,0.0002179
81,902.934,1.05012,0.81985,1.25123,0.70543,0.70043,0.75508,0.41152,1.49952,1.15434,1.65562,0.000208,0.000208,0.000208
82,913.987,1.04425,0.82805,1.24932,0.73248,0.69153,0.76379,0.40023,1.54642,1.16841,1.69461,0.0001981,0.0001981,0.0001981
83,925.063,1.07826,0.83403,1.26359,0.81894,0.65171,0.77863,0.4141,1.5086,1.15928,1.66555,0.0001882,0.0001882,0.0001882
84,936.155,1.03848,0.80324,1.24137,0.74555,0.69618,0.7605,0.40775,1.49828,1.16377,1.65574,0.0001783,0.0001783,0.0001783
85,947.255,1.02892,0.78288,1.2305,0.75707,0.69776,0.7789,0.42022,1.5175,1.17152,1.68208,0.0001684,0.0001684,0.0001684
86,958.507,1.05322,0.81863,1.24555,0.73819,0.70976,0.76346,0.40975,1.52077,1.15711,1.66558,0.0001585,0.0001585,0.0001585
87,969.713,1.03767,0.81944,1.23863,0.75275,0.67263,0.75758,0.3984,1.52469,1.18178,1.67449,0.0001486,0.0001486,0.0001486
88,980.803,1.03005,0.80215,1.24806,0.70569,0.71042,0.75888,0.40276,1.51758,1.17071,1.66566,0.0001387,0.0001387,0.0001387
89,991.914,1.03649,0.79724,1.2339,0.71905,0.72413,0.76927,0.41318,1.51364,1.15787,1.67224,0.0001288,0.0001288,0.0001288
90,1002.95,1.02921,0.79958,1.23966,0.76879,0.69886,0.76561,0.40238,1.53627,1.15412,1.69361,0.0001189,0.0001189,0.0001189
91,1014.85,1.00706,0.76928,1.24664,0.71761,0.68779,0.7584,0.40887,1.50299,1.16767,1.68389,0.000109,0.000109,0.000109
92,1025.87,1.00556,0.72428,1.24905,0.73974,0.71066,0.76662,0.40987,1.52616,1.15012,1.70572,9.91e-05,9.91e-05,9.91e-05
93,1036.88,0.98524,0.70291,1.23701,0.76749,0.68363,0.77332,0.40973,1.51919,1.14957,1.69295,8.92e-05,8.92e-05,8.92e-05
94,1048.06,0.97885,0.70841,1.2253,0.7423,0.70306,0.76204,0.41108,1.49745,1.14073,1.67603,7.93e-05,7.93e-05,7.93e-05
95,1059.13,0.95549,0.68969,1.21296,0.75536,0.68934,0.76804,0.41158,1.50407,1.14577,1.67702,6.94e-05,6.94e-05,6.94e-05
96,1070.18,0.94683,0.66623,1.20707,0.72559,0.70825,0.77025,0.41038,1.50759,1.1458,1.67972,5.95e-05,5.95e-05,5.95e-05
97,1081.23,0.93089,0.65733,1.19652,0.73126,0.70354,0.76961,0.41214,1.51054,1.13321,1.68413,4.96e-05,4.96e-05,4.96e-05
98,1092.26,0.95238,0.65714,1.20321,0.75301,0.69474,0.77126,0.41061,1.50387,1.14161,1.68617,3.97e-05,3.97e-05,3.97e-05
99,1103.29,0.94285,0.67177,1.21505,0.75068,0.71131,0.77241,0.41062,1.49637,1.14104,1.67922,2.98e-05,2.98e-05,2.98e-05
100,1114.28,0.94402,0.64723,1.20792,0.76345,0.70179,0.77326,0.41348,1.49577,1.13688,1.67387,1.99e-05,1.99e-05,1.99e-05
